PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, GP, W, L, MIN, MIN1, DIST_FEET, DIST_MILES, DIST_MILES_OFF, DIST_MILES_DEF, AVG_SPEED, AVG_SPEED_DEF
202355, Hassan Whiteside, 1610612748, MIA, 47, 17, 30, 24.13, 24.13, 8229.74, 1.56, 0.83, 0.73, 3.88, 3.74
2045, Hedo Turkoglu, 1610612746, LAC, 62, 42, 20, 11.36, 11.36, 4100.53, 0.78, 0.4, 0.37, 4.11, 3.94
203156, Henry Sims, 1610612755, PHI, 73, 14, 59, 19.16, 19.16, 7160.77, 1.36, 0.73, 0.63, 4.26, 4.02
201611, Henry Walker, 1610612748, MIA, 24, 12, 12, 26.15, 26.15, 9224.96, 1.75, 0.96, 0.79, 4.01, 3.64
203138, Hollis Thompson, 1610612755, PHI, 71, 13, 58, 25.01, 25.01, 9726.75, 1.84, 0.99, 0.86, 4.43, 4.1
203546, Ian Clark, 1610612743, DEN, 30, 9, 21, 6.41, 6.41, 2475.17, 0.47, 0.25, 0.22, 4.39, 4.14
101133, Ian Mahinmi, 1610612754, IND, 61, 28, 33, 18.78, 18.78, 6739.51, 1.28, 0.67, 0.61, 4.09, 4.0
202697, Iman Shumpert, 1610612739, CLE, 62, 34, 28, 24.91, 24.91, 9484.87, 1.8, 0.97, 0.83, 4.34, 4.07
203477, Isaiah Canaan, 1610612755, PHI, 46, 23, 23, 19.82, 19.82, 7500.46, 1.42, 0.76, 0.66, 4.31, 4.03
202738, Isaiah Thomas, 1610612738, BOS, 67, 40, 27, 25.76, 25.76, 9160.85, 1.74, 0.92, 0.81, 4.04, 3.64
202397, Ish Smith, 1610612755, PHI, 55, 24, 31, 15.12, 15.12, 6032.75, 1.14, 0.63, 0.51, 4.54, 4.09
200826, J.J. Barea, 1610612742, DAL, 77, 49, 28, 17.68, 17.68, 6946.21, 1.32, 0.71, 0.61, 4.46, 4.07
201581, JJ Hickson, 1610612743, DEN, 73, 26, 47, 19.33, 19.33, 7117.33, 1.35, 0.7, 0.65, 4.19, 3.91
200755, JJ Redick, 1610612746, LAC, 78, 55, 23, 30.89, 30.89, 12360.36, 2.34, 1.24, 1.1, 4.56, 4.13
2747, JR Smith, 1610612739, CLE, 70, 38, 32, 29.71, 29.71, 10602.34, 2.01, 1.1, 0.91, 4.07, 3.79
203960, JaKarr Sampson, 1610612755, PHI, 74, 17, 57, 15.29, 15.29, 6117.81, 1.16, 0.61, 0.54, 4.56, 4.26
203210, JaMychal Green, 1610612763, MEM, 24, 10, 14, 6.83, 6.83, 2571.63, 0.49, 0.25, 0.24, 4.26, 4.01
201580, JaVale McGee, 1610612743, DEN, 23, 8, 15, 11.13, 11.13, 3840.13, 0.73, 0.38, 0.35, 3.92, 3.64
203913, Jabari Brown, 1610612747, LAL, 19, 4, 15, 29.91, 29.91, 10649.26, 2.02, 1.12, 0.89, 4.04, 3.77
203953, Jabari Parker, 1610612749, MIL, 25, 13, 12, 29.54, 29.54, 11373.04, 2.15, 1.1, 1.06, 4.35, 4.1
204022, Jack Cooley, 1610612762, UTA, 16, 10, 6, 5.45, 5.45, 2066.5, 0.39, 0.21, 0.18, 4.35, 4.2
203109, Jae Crowder, 1610612738, BOS, 82, 47, 35, 20.08, 20.08, 7490.41, 1.42, 0.73, 0.68, 4.25, 4.0
203479, Jamaal Franklin, 1610612743, DEN, 3, 1, 2, 4.39, 4.39, 1787.33, 0.34, 0.19, 0.15, 4.37, 3.74
2037, Jamal Crawford, 1610612746, LAC, 64, 44, 20, 26.61, 26.61, 9114.86, 1.73, 0.9, 0.83, 3.9, 3.69
2749, Jameer Nelson, 1610612743, DEN, 63, 25, 38, 22.32, 22.32, 8133.67, 1.54, 0.8, 0.74, 4.15, 3.83
203516, James Ennis III, 1610612748, MIA, 62, 27, 35, 16.96, 16.96, 6604.55, 1.25, 0.67, 0.58, 4.43, 4.19
