PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, GP, W, L, MIN, MIN1, DIST_FEET, DIST_MILES, DIST_MILES_OFF, DIST_MILES_DEF, AVG_SPEED, AVG_SPEED_DEF
201979, Nick Calathes, 1610612763, MEM, 71, 42, 29, 16.52, 16.52, 6546.79, 1.24, 0.68, 0.56, 4.52, 4.15
2555, Nick Collison, 1610612760, OKC, 81, 58, 23, 16.71, 16.71, 6574.69, 1.25, 0.66, 0.58, 4.49, 4.05
201156, Nick Young, 1610612747, LAL, 64, 21, 43, 28.27, 28.27, 10283.69, 1.95, 1.01, 0.93, 4.14, 3.84
201587, Nicolas Batum, 1610612757, POR, 82, 54, 28, 36.05, 36.05, 14032.23, 2.66, 1.46, 1.2, 4.43, 4.03
201593, Nikola Pekovic, 1610612750, MIN, 54, 27, 27, 30.8, 30.8, 10780.67, 2.04, 1.05, 0.99, 3.99, 3.92
202696, Nikola Vucevic, 1610612753, ORL, 57, 19, 38, 31.79, 31.79, 11271.02, 2.13, 1.16, 0.98, 4.05, 3.77
202708, Norris Cole, 1610612748, MIA, 82, 54, 28, 24.57, 24.57, 9368.76, 1.77, 0.95, 0.83, 4.34, 4.02
201564, O.J. Mayo, 1610612749, MIL, 51, 10, 41, 25.76, 25.76, 9130.2, 1.73, 0.94, 0.79, 4.03, 3.72
203136, Ognjen Kuzmic, 1610612744, GSW, 21, 16, 5, 4.4, 4.4, 1604.29, 0.3, 0.17, 0.14, 4.17, 4.25
201600, Omer Asik, 1610612745, HOU, 48, 32, 16, 20.17, 20.17, 7029.69, 1.33, 0.7, 0.63, 3.98, 3.63
201956, Omri Casspi, 1610612745, HOU, 71, 46, 25, 18.07, 18.07, 7087.52, 1.34, 0.72, 0.62, 4.47, 4.02
203111, Orlando Johnson, 1610612758, SAC, 45, 34, 11, 8.72, 8.72, 3204.16, 0.61, 0.33, 0.28, 4.18, 4.06
201785, Othyus Jeffers, 1610612750, MIN, 6, 2, 4, 7.78, 7.78, 2920.67, 0.55, 0.27, 0.28, 4.25, 4.17
203490, Otto Porter Jr., 1610612764, WAS, 37, 20, 17, 8.62, 8.62, 3372.11, 0.64, 0.35, 0.29, 4.49, 4.17
200782, PJ Tucker, 1610612756, PHX, 81, 48, 33, 30.74, 30.74, 11112.94, 2.1, 1.07, 1.03, 4.12, 4.03
